hostname,pl_letter,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,sy_dist,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,hd_name,hip_name
"HD 207832","b","Radial Velocity",161.97000000,0.97000000,-0.78000000,0.570000,0.002000,-0.002000,0.130000,0.180000,-0.050000,,,,0.56000,0.06000,-0.03000,,,,58.9291000,0.94,0.10,,0.90,0.06,,"HD 207832","HIP 107985"
"HD 207832","c","Radial Velocity",1155.70000000,71.90000000,-37.00000000,2.112000,0.087000,-0.045000,0.270000,0.220000,-0.100000,,,,0.73000,0.18000,-0.05000,,,,58.9291000,0.94,0.10,,0.90,0.06,,"HD 207832","HIP 107985"
"HAT-P-40","b","Transit",4.45724300,0.00001000,-0.00001000,0.060800,0.000600,-0.001500,0.000000,,,88.300,0.900,-0.900,0.61500,0.03800,-0.03800,1.730,0.062,-0.062,464.4690000,1.51,0.11,,2.21,0.06,,,
"nu Oph","c","Radial Velocity",3186.00000000,14.00000000,-14.00000000,6.100000,,,0.165000,0.013000,-0.013000,,,,27.00000,,,,,,46.2107000,3.04,0.06,,15.10,1.10,,"HD 163917","HIP 88048"
"HD 5608","b","Radial Velocity",792.60000000,7.70000000,-7.70000000,1.900000,,,0.190000,0.061000,-0.061000,,,,1.40000,,,,,,58.1105000,1.55,0.23,,5.50,0.40,,"HD 5608","HIP 4552"
"KOI-13","b","Transit",1.76358900,,,,,,,,,85.900,0.400,-0.400,,,,1.445,0.016,-0.016,519.0960000,2.05,,,1.76,0.01,-0.01,,
"TrES-2","b","Transit",2.47061010,0.00000180,-0.00000180,0.036350,0.000720,-0.000720,,,,83.800,0.360,-0.360,1.25300,0.05300,-0.05300,1.261,0.041,-0.041,215.3200000,1.05,0.06,-0.06,1.00,0.03,-0.03,,
"HAT-P-1","b","Transit",4.46529340,0.00000930,-0.00000930,0.055350,0.000710,-0.000710,,,,86.250,0.220,-0.220,0.52400,0.01800,-0.01800,1.217,0.039,-0.039,158.9790000,1.13,0.04,-0.04,1.11,0.03,-0.03,,
"TrES-3","b","Transit",1.30618640,0.00000050,-0.00000050,0.022830,0.000170,-0.000300,,,,82.070,0.170,-0.170,1.91000,0.06300,-0.07600,1.305,0.028,-0.027,231.3370000,0.93,0.02,-0.04,0.82,0.01,-0.01,,
"OGLE-TR-113","b","Transit",1.43247570,0.00000130,-0.00000130,0.022780,0.000520,-0.000520,,,,87.700,1.400,-1.400,1.24000,0.17000,-0.17000,1.111,0.050,-0.050,566.4590000,0.77,0.05,-0.05,0.78,0.03,-0.03,,
"WASP-10","b","Transit",3.09276160,0.00000100,-0.00000100,0.037800,0.001600,-0.001600,,,,88.810,0.400,-0.400,3.16000,0.26000,-0.26000,1.067,0.068,-0.068,140.9980000,0.75,0.09,-0.09,0.70,0.04,-0.04,,
"Kepler-48","c","Transit",9.67392830,0.00002000,-0.00002000,,,,,,,,,,11.61000,,,0.280,,,306.7380000,0.89,,,0.89,,,,
"gam Cep","b","Radial Velocity",903.30000000,1.50000000,-1.50000000,2.050000,0.060000,-0.060000,0.049000,0.034000,-0.034000,,,,1.85000,0.16000,-0.16000,,,,14.1024000,1.40,0.12,-0.12,4.90,,,"HD 222404","HIP 116727"
"GJ 676 A","b","Radial Velocity",1056.80000000,2.80000000,-2.80000000,1.820000,,,0.326000,0.009000,-0.009000,,,,4.90000,,,,,,16.0272000,,,,,,,,"HIP 85647"
"HD 142","b","Radial Velocity",349.70000000,1.20000000,-1.20000000,1.020000,0.030000,-0.030000,0.170000,0.060000,-0.060000,,,,1.25000,0.15000,-0.15000,,,,26.1853000,1.23,0.22,-0.16,1.47,0.04,-0.04,"HD 142","HIP 522"
"HD 159868","b","Radial Velocity",1178.40000000,8.80000000,-8.80000000,2.250000,0.030000,-0.030000,0.010000,0.030000,-0.030000,,,,2.10000,0.11000,-0.11000,,,,55.8503000,1.09,0.03,-0.03,,,,"HD 159868","HIP 86375"
"eps CrB","b","Radial Velocity",417.90000000,0.50000000,-0.50000000,1.300000,,,0.110000,0.030000,-0.030000,,,,6.70000,0.30000,-0.30000,,,,69.8683000,1.70,0.10,-0.10,21.00,,,"HD 143107","HIP 78159"
"HD 4732","b","Radial Velocity",360.20000000,1.40000000,-1.40000000,1.190000,0.050000,-0.050000,0.130000,0.060000,-0.060000,,,,2.37000,0.34000,-0.34000,,,,54.7841000,1.74,0.20,-0.14,5.40,0.40,-0.40,"HD 4732","HIP 3834"
"HD 37605","c","Radial Velocity",2720.00000000,57.00000000,-57.00000000,3.814000,0.058000,-0.058000,0.013000,0.015000,-0.015000,,,,3.36600,0.07200,-0.07200,,,,46.7864000,1.00,0.05,-0.05,0.90,0.04,-0.04,"HD 37605","HIP 26664"
"HD 40307","b","Radial Velocity",4.31230000,0.00110000,-0.00120000,0.046800,0.002400,-0.002300,0.200000,0.140000,-0.160000,,,,0.01260,0.00250,-0.00220,,,,12.9363000,0.77,0.05,-0.05,,,,"HD 40307","HIP 27887"
"HD 40307","d","Radial Velocity",20.43200000,0.02200000,-0.02400000,0.132100,0.006600,-0.006600,0.070000,0.110000,-0.070000,,,,0.02990,0.00530,-0.00470,,,,12.9363000,0.77,0.05,-0.05,,,,"HD 40307","HIP 27887"
"HD 40307","g","Radial Velocity",197.80000000,5.70000000,-9.00000000,0.600000,0.034000,-0.033000,0.290000,0.310000,-0.290000,,,,0.02230,0.00820,-0.00820,,,,12.9363000,0.77,0.05,-0.05,,,,"HD 40307","HIP 27887"
"WASP-77 A","b","Transit",1.36003090,0.00000200,-0.00000200,0.024000,0.000360,-0.000360,0.000000,,,89.400,0.400,-0.700,1.76000,0.06000,-0.06000,1.210,0.020,-0.020,105.1660000,1.00,0.04,-0.04,0.95,0.01,-0.01,,
"GJ 676 A","d","Radial Velocity",3.60000000,0.00080000,-0.00080000,0.041300,0.001400,-0.001400,0.150000,0.090000,-0.090000,,,,0.01400,0.00200,-0.00200,,,,16.0272000,0.71,0.04,-0.04,,,,,"HIP 85647"
"HD 142245","b","Radial Velocity",1299.00000000,48.00000000,-48.00000000,2.770000,0.090000,-0.090000,0.090000,,,,,,1.90000,0.20000,-0.20000,,,,97.2305000,1.69,0.12,-0.12,5.20,0.10,-0.10,"HD 142245","HIP 77783"
"HD 1502","b","Radial Velocity",431.80000000,3.50000000,-3.50000000,1.310000,0.030000,-0.030000,0.101000,0.037000,-0.037000,,,,3.10000,0.20000,-0.20000,,,,190.9530000,1.61,0.11,-0.11,4.50,0.10,-0.10,"HD 1502","HIP 1547"
"HD 28678","b","Radial Velocity",387.10000000,3.40000000,-3.40000000,1.250000,0.030000,-0.030000,0.168000,0.070000,-0.070000,,,,1.70000,0.10000,-0.10000,,,,189.9080000,1.74,0.12,-0.12,6.20,0.10,-0.10,"HD 28678","HIP 21109"
"HD 5891","b","Radial Velocity",177.11000000,0.32000000,-0.32000000,0.760000,0.020000,-0.020000,0.066000,0.022000,-0.022000,,,,7.60000,0.40000,-0.40000,,,,283.5020000,1.91,0.13,-0.13,8.70,0.20,-0.20,"HD 5891","HIP 4715"
"HD 106270","b","Radial Velocity",2890.00000000,390.00000000,-390.00000000,4.300000,0.400000,-0.400000,0.402000,0.054000,-0.054000,,,,11.00000,0.80000,-0.80000,,,,93.8080000,1.32,0.09,-0.09,2.50,0.10,-0.10,"HD 106270","HIP 59625"
"HD 82886","b","Radial Velocity",705.00000000,34.00000000,-34.00000000,1.650000,0.060000,-0.060000,0.066000,,,,,,1.30000,0.10000,-0.10000,,,,127.0610000,1.06,0.07,-0.07,4.80,0.10,-0.10,"HD 82886","HIP 47087"
"HD 116029","b","Radial Velocity",670.00000000,11.00000000,-11.00000000,1.780000,0.050000,-0.050000,0.054000,,,,,,2.10000,0.20000,-0.20000,,,,123.2450000,1.58,0.11,-0.11,4.60,0.10,-0.10,"HD 116029","HIP 65117"
"HD 99706","b","Radial Velocity",868.00000000,31.00000000,-31.00000000,2.140000,0.080000,-0.080000,0.365000,0.100000,-0.100000,,,,1.40000,0.10000,-0.10000,,,,146.6000000,1.72,0.12,-0.12,5.40,0.10,-0.10,"HD 99706","HIP 55994"
"HD 163607","c","Radial Velocity",1314.00000000,8.00000000,-8.00000000,2.420000,0.010000,-0.010000,0.120000,0.060000,-0.060000,,,,2.29000,0.16000,-0.16000,,,,67.7855000,1.09,0.02,-0.02,1.63,0.07,-0.07,"HD 163607","HIP 87601"
"HD 164509","b","Radial Velocity",282.40000000,3.80000000,-3.80000000,0.875000,0.008000,-0.008000,0.260000,0.140000,-0.140000,,,,0.48000,0.09000,-0.09000,,,,53.1119000,1.13,0.02,-0.02,1.06,0.03,-0.03,"HD 164509","HIP 88268"
"HD 181720","b","Radial Velocity",956.00000000,14.00000000,-14.00000000,1.780000,,,0.260000,0.060000,-0.060000,,,,0.37000,,,,,,60.2046000,0.92,,,1.39,,,"HD 181720","HIP 95262"
"HD 190984","b","Radial Velocity",4885.00000000,1600.00000000,-1600.00000000,5.500000,,,0.570000,0.100000,-0.100000,,,,3.10000,,,,,,148.1870000,0.91,,,1.53,,,"HD 190984","HIP 99496"
"BD-06 1339","c","Radial Velocity",125.94000000,0.44000000,-0.44000000,0.435000,0.007000,-0.007000,0.310000,0.110000,-0.110000,,,,0.17000,0.03000,-0.03000,,,,20.2695000,0.70,,,,,,,"HIP 27803"
"HD 103774","b","Radial Velocity",5.88810000,0.00050000,-0.00050000,0.070000,0.001000,-0.001000,0.090000,0.040000,-0.040000,,,,0.36700,0.02200,-0.02200,,,,56.4089000,1.33,0.03,-0.03,,,,"HD 103774","HIP 58263"
"HD 109271","c","Radial Velocity",30.93000000,0.02000000,-0.02000000,0.196000,0.003000,-0.003000,0.150000,0.090000,-0.090000,,,,0.07600,0.00700,-0.00700,,,,55.8716000,1.05,0.02,-0.02,,,,"HD 109271","HIP 61300"
"HD 166724","b","Radial Velocity",5144.00000000,705.00000000,-467.00000000,5.420000,0.430000,-0.430000,0.734000,0.020000,-0.020000,,,,3.53000,0.11000,-0.11000,,,,45.1342000,0.81,0.02,-0.02,,,,"HD 166724","HIP 89354"
"HD 220689","b","Radial Velocity",2209.00000000,103.00000000,-81.00000000,3.360000,0.090000,-0.090000,0.160000,0.100000,-0.070000,,,,1.06000,0.09000,-0.09000,,,,46.8778000,1.04,0.03,-0.03,1.07,0.04,-0.04,"HD 220689","HIP 115662"
"HD 27631","b","Radial Velocity",2208.00000000,66.00000000,-66.00000000,3.250000,0.070000,-0.070000,0.120000,0.060000,-0.060000,,,,1.45000,0.14000,-0.14000,,,,50.2862000,0.94,0.04,-0.04,1.00,,,"HD 27631","HIP 20199"
"HD 219077","b","Radial Velocity",5501.00000000,130.00000000,-119.00000000,6.220000,0.090000,-0.090000,0.770000,0.003000,-0.003000,,,,10.39000,0.09000,-0.09000,,,,29.1864000,1.05,0.02,-0.02,1.91,0.03,-0.03,"HD 219077","HIP 114699"
